Aqui está a tabela com uma coluna de exemplos:

| Tipo     | Descrição                                                                                                                                                                                                                           | Exemplo                                                                                       |
|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|
| feat     | Commits do tipo **feat** indicam que seu trecho de código está incluindo um novo recurso (se relaciona com 0 MINOR do versionamento semântico).                                                                                     | Exemplo: Adicionando autenticação de usuário.                                                |
| fix      | Um commit do tipo **fix** soluciona um problema na sua base de código (isso se correlaciona com PATCH do versionamento semântico).                                                                                                  | Exemplo: Corrigindo erro de digitação no formulário de login.                                |
| docs     | Commits do tipo **docs** indicam que houveram mudanças na documentação como por exemplo no Readme do seu repositório. (Não inclui alterações em código).                                                                             | Exemplo: Atualizando a seção de instruções no README.                                         |
| test     | Commits do tipo **test** são utilizados quando são realizadas alterações em testes, seja criando, alterando ou excluindo testes unitários. (Não inclui alterações em código).                                                            | Exemplo: Adicionando teste de unidade para a função de validação de formulário.               |
| build    | Commits do tipo **build** são utilizados quando são realizadas modificações em arquivos de build e dependências.                                                                                                                    | Exemplo: Atualizando as dependências do projeto.                                              |
| perf     | Commits do tipo **perf** servem para identificar quaisquer alterações de código que estejam relacionadas a performance.                                                                                                              | Exemplo: Otimizando a consulta de banco de dados para melhorar o desempenho.                   |
| style    | Commits do tipo **style** indicam que houveram alterações referentes a formatações de código, semicolons, trailing spaces, lint... (Não inclui alterações em código).                                                                  | Exemplo: Corrigindo indentação inconsistente no arquivo CSS.                                  |
| refactor | Commits do tipo **refactor** referem-se a mudanças devido a refatorações que não alterem sua funcionalidade, como por exemplo, uma alteração no formato como é processada determinada parte da tela, mas que manteve a mesma funcionalidade, ou melhorias de performance devido a um code review. | Exemplo: Reorganizando o código para torná-lo mais legível e eficiente.                        |
| chore    | Commits do tipo **chore** indicam atualizações de tarefas de build, configurações de administrador, pacotes... como por exemplo adicionar um pacote no gitignore. (Não inclui alterações em código).                                        | Exemplo: Atualizando as configurações de ambiente para o servidor de produção.                |
